"Player","Team","Position","Type","Team","Pr","Date (EDT)","Gameweek"
"Danny Welbeck","BHA","F","Drop","1-The Dentist","1","Thu Dec 28, 2023, 11:23PM","20"
"Jose Sa","WOL","G","Claim","1-OGBEAN'S","1","Thu Dec 28, 2023, 10:55PM","20"
"David Raya","BRF/ARS","G","Drop","1-OGBEAN'S","1","Thu Dec 28, 2023, 10:55PM","20"
"Gabriel Osho","LUT","D","Claim","1-john lim","1","Thu Dec 28, 2023, 9:55PM","20"
"Nelson Semedo","WOL","D","Drop","1-john lim","1","Thu Dec 28, 2023, 9:55PM","20"
"Pau Torres","AVL","D","Claim","1-john lim","1","Thu Dec 28, 2023, 9:54PM","20"
"Ian Maatsen","CHE","D","Drop","1-john lim","1","Thu Dec 28, 2023, 9:54PM","20"
"Thomas Kaminski","LUT","G","Claim","1-john lim","1","Thu Dec 28, 2023, 9:03PM","20"
"Martin Dubravka","NEW","G","Drop","1-john lim","1","Thu Dec 28, 2023, 9:03PM","20"
"Danny Welbeck","BHA","F","Claim","1-The Dentist","1","Thu Dec 28, 2023, 9:03PM","20"
"Chris Wood","NOT","F","Claim","1-The Dentist","1","Thu Dec 28, 2023, 9:02PM","20"
"Thiago Silva","CHE","D","Claim","1-The Dentist","1","Thu Dec 28, 2023, 9:02PM","20"
"Alphonse Areola","WHU","G","Claim","1-Burnley and Old Trafford","1","Thu Dec 28, 2023, 9:01PM","20"
"Bernd Leno","FUL","G","Drop","1-Burnley and Old Trafford","1","Thu Dec 28, 2023, 9:01PM","20"
"Luis Sinisterra","LEE/BOU","F","Claim","1-Burnley and Old Trafford","1","Thu Dec 28, 2023, 9:00PM","20"
"Ezri Konsa","AVL","D","Drop","1-Burnley and Old Trafford","1","Thu Dec 28, 2023, 9:00PM","20"
"Alejandro Garnacho","MUN","M","Claim","1-OGBEAN'S","1","Thu Dec 28, 2023, 9:00PM","20"
"Alex Scott","BOU","M","Claim","1-The Dentist","2","Thu Dec 28, 2023, 9:00PM","20"
"Alex Moreno","AVL","D","Claim","1-Koke Vegas","2","Thu Dec 28, 2023, 9:00PM","20"
"Axel Disasi","CHE","D","Drop","1-Koke Vegas","2","Thu Dec 28, 2023, 9:00PM","20"
"Cameron Archer","AVL/SHU","F","Drop","1-OGBEAN'S","1","Thu Dec 28, 2023, 8:57PM","20"
"Ian Maatsen","CHE","D","Claim","1-john lim","1","Wed Dec 27, 2023, 2:23PM","19"
"Saman Ghoddos","BRF","M,F","Drop","1-john lim","1","Wed Dec 27, 2023, 2:23PM","19"
"Saman Ghoddos","BRF","M,F","Claim","1-john lim","1","Wed Dec 27, 2023, 2:22PM","19"
"Nathan Ake","MCI","D","Drop","1-john lim","1","Wed Dec 27, 2023, 2:22PM","19"
"Nathan Ake","MCI","D","Claim","1-john lim","1","Wed Dec 27, 2023, 2:17PM","19"
"Josko Gvardiol","MCI","D","Drop","1-john lim","1","Wed Dec 27, 2023, 2:17PM","19"
"André Gomes","EVE","M","Claim","1-john lim","1","Wed Dec 27, 2023, 1:38PM","19"
"Facundo Buonanotte","BHA","M","Claim","1-rice cooker","1","Wed Dec 27, 2023, 9:48AM","19"
"Rayan Ait-Nouri","WOL","D","Drop","1-rice cooker","1","Wed Dec 27, 2023, 9:48AM","19"
"James Mcatee","MCI/SHU","M","Drop","1-The Dentist","1","Tue Dec 26, 2023, 8:53PM","20"
"Ryan Giles","LUT","M,F","Drop","1-The Dentist","1","Tue Dec 26, 2023, 8:51PM","20"
"Kenny Tete","FUL","D","Drop","1-The Dentist","1","Tue Dec 26, 2023, 8:49PM","20"
"George Baldock","SHU","D","Drop","1-The Dentist","1","Tue Dec 26, 2023, 8:48PM","20"
"Diego Carlos","AVL","D","Drop","1-rice cooker","1","Tue Dec 26, 2023, 2:36PM","19"
"Clement Lenglet","TOT/AVL","D","Claim","1 - The Narrative","1","Tue Dec 26, 2023, 2:08PM","19"
"Diego Carlos","AVL","D","Claim","1-rice cooker","1","Tue Dec 26, 2023, 2:03PM","19"
"Tyrick Mitchell","CRY","D","Drop","1-rice cooker","1","Tue Dec 26, 2023, 2:03PM","19"
"Raphael Varane","MUN","D","Claim","1-OGBEAN'S","1","Tue Dec 26, 2023, 2:02PM","19"
"Alex Moreno","AVL","D","Drop","1-OGBEAN'S","1","Tue Dec 26, 2023, 2:02PM","19"
"Ryan Gravenberch","LIV","M","Claim","1-Check Complete FC","1","Tue Dec 26, 2023, 11:33AM","19"
"Curtis Jones","LIV","M","Drop","1-Check Complete FC","1","Tue Dec 26, 2023, 11:33AM","19"
"Jarell Quansah","LIV","D","Claim","1-rice cooker","1","Tue Dec 26, 2023, 11:32AM","19"
"Vinicius de Souza Costa","SHU","M","Claim","1-john lim","1","Tue Dec 26, 2023, 9:27AM","19"
"Timothy Castagne","LEI/FUL","D","Drop","1-john lim","1","Tue Dec 26, 2023, 9:02AM","19"
"Oliver McBurnie","SHU","F","Claim","1-Koke Vegas","1","Tue Dec 26, 2023, 9:01AM","19"
"Chiedozie Ogbene","LUT","F","Drop","1-Koke Vegas","1","Tue Dec 26, 2023, 9:01AM","19"
"George Baldock","SHU","D","Claim","1-The Dentist","1","Tue Dec 26, 2023, 7:31AM","19"
"Jarell Quansah","LIV","D","Drop","1-The Dentist","1","Tue Dec 26, 2023, 7:31AM","19"
"Jarell Quansah","LIV","D","Claim","1-The Dentist","1","Tue Dec 26, 2023, 7:25AM","19"
"Gabriel Osho","LUT","D","Drop","1-The Dentist","1","Tue Dec 26, 2023, 7:25AM","19"
"Kenny Tete","FUL","D","Claim","1-The Dentist","1","Tue Dec 26, 2023, 7:10AM","19"
"Ruben Dias","MCI","D","Drop","1-The Dentist","1","Tue Dec 26, 2023, 7:10AM","19"
"Ruben Dias","MCI","D","Claim","1-The Dentist","1","Tue Dec 26, 2023, 7:05AM","19"
"Jamaal Lascelles","NEW","D","Drop","1-john lim","1","Tue Dec 26, 2023, 6:58AM","19"
"Chiedozie Ogbene","LUT","F","Claim","1-Koke Vegas","1","Tue Dec 26, 2023, 6:52AM","19"
"Chris Wood","NOT","F","Drop","1-Koke Vegas","1","Tue Dec 26, 2023, 6:52AM","19"
"Chris Wood","NOT","F","Claim","1-Koke Vegas","1","Tue Dec 26, 2023, 6:47AM","19"
"Valentino Livramento","NEW","D","Drop","1-The Dentist","1","Tue Dec 26, 2023, 6:45AM","19"
"Callum Hudson-Odoi","CHE/NOT","F","Drop","1-Koke Vegas","1","Tue Dec 26, 2023, 6:33AM","19"
"Callum Hudson-Odoi","CHE/NOT","F","Claim","1-Koke Vegas","1","Tue Dec 26, 2023, 6:31AM","19"
"Alejandro Garnacho","MUN","M","Drop","1-Koke Vegas","1","Tue Dec 26, 2023, 6:31AM","19"
"Eddie Nketiah","ARS","F","Claim","1-Burnley and Old Trafford","1","Tue Dec 26, 2023, 1:45AM","19"
"Murillo","NOT","D,M","Drop","1-Burnley and Old Trafford","1","Tue Dec 26, 2023, 1:45AM","19"
"Antoine Semenyo","BOU","F","Claim","1 - The Narrative","1","Mon Dec 25, 2023, 10:36PM","19"
"Oliver Norwood","SHU","M","Claim","1-rice cooker","1","Mon Dec 25, 2023, 9:12PM","19"
"Gabriel Osho","LUT","D","Claim","1-The Dentist","1","Mon Dec 25, 2023, 9:02PM","19"
"Thiago Silva","CHE","D","Drop","1-The Dentist","1","Mon Dec 25, 2023, 9:02PM","19"
"Alex Moreno","AVL","D","Claim","1-OGBEAN'S","1","Mon Dec 25, 2023, 9:02PM","19"
"Emerson Royal","TOT","D","Drop","1-OGBEAN'S","1","Mon Dec 25, 2023, 9:02PM","19"
"Jan-Paul van Hecke","BHA","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Mon Dec 25, 2023, 9:00PM","19"
"Ryan Giles","LUT","M,F","Claim","1-The Dentist","1","Mon Dec 25, 2023, 9:00PM","19"
"Joao Gomes","WOL","M","Claim","1-OGBEAN'S","1","Mon Dec 25, 2023, 9:00PM","19"
"James Mcatee","MCI/SHU","M","Claim","1-The Dentist","1","Mon Dec 25, 2023, 9:00PM","19"
"Emerson Royal","TOT","D","Claim","1-OGBEAN'S","1","Mon Dec 25, 2023, 9:00PM","19"
"Joseph Gomez","LIV","D","Claim","1-The Dentist","1","Mon Dec 25, 2023, 9:00PM","19"
"Nathan Patterson","EVE","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Mon Dec 25, 2023, 10:10AM","19"
"Calvin Bassey","FUL","D","Drop","1-rice cooker","1","Mon Dec 25, 2023, 8:08AM","19"
"Will Hughes","CRY","M","Drop","1-rice cooker","1","Mon Dec 25, 2023, 8:08AM","19"
"Lyle Foster","BUR","F","Drop","1 - The Narrative","1","Sun Dec 24, 2023, 9:44AM","19"
"Marc Guehi","CRY","D","Drop","1 - The Narrative","1","Sun Dec 24, 2023, 9:43AM","19"
"Edson Alvarez","WHU","M","Drop","1 - The Narrative","1","Sun Dec 24, 2023, 9:43AM","19"
"Nelson Semedo","WOL","D","Claim","1-john lim","1","Sun Dec 24, 2023, 7:54AM","18"
"Moises Caicedo","BHA/CHE","M","Claim","1-Check Complete FC","1","Sat Dec 23, 2023, 11:00PM","18"
"Konstantinos Tsimikas","LIV","D","Drop","1-The Dentist","1","Sat Dec 23, 2023, 6:32PM","19"
"Clement Lenglet","TOT/AVL","D","Drop","1-OGBEAN'S","1","Sat Dec 23, 2023, 2:37PM","19"
"Harry Wilson","FUL","M","Drop","1-The Dentist","1","Sat Dec 23, 2023, 1:34PM","19"
"Rodrigo Muniz","FUL","F","Drop","1-The Dentist","1","Sat Dec 23, 2023, 1:34PM","19"
"Jacob Bruun Larsen","BUR","F","Drop","1-OGBEAN'S","1","Sat Dec 23, 2023, 11:32AM","19"
"Eddie Nketiah","ARS","F","Drop","1 - The Narrative","1","Sat Dec 23, 2023, 11:31AM","18"
"Calvin Bassey","FUL","D","Claim","1-rice cooker","1","Sat Dec 23, 2023, 9:50AM","18"
"Jay Rodriguez","BUR","F","Drop","1-rice cooker","1","Sat Dec 23, 2023, 9:50AM","18"
"Wilson Odobert","BUR","F","Claim","1-Greek Prison XI","1","Sat Dec 23, 2023, 9:31AM","18"
"Nathan Ake","MCI","D","Drop","1-Greek Prison XI","1","Sat Dec 23, 2023, 9:31AM","18"
"Lewis Miley","NEW","M","Claim","1-Greek Prison XI","1","Sat Dec 23, 2023, 9:30AM","18"
"Saman Ghoddos","BRF","M,F","Drop","1-Greek Prison XI","1","Sat Dec 23, 2023, 9:30AM","18"
"Elijah Adebayo","LUT","F","Claim","1-rice cooker","1","Sat Dec 23, 2023, 9:29AM","18"
"Carlos Vinicius","FUL","F","Drop","1-rice cooker","1","Sat Dec 23, 2023, 9:29AM","18"
"Rodrigo Muniz","FUL","F","Claim","1-The Dentist","1","Sat Dec 23, 2023, 9:20AM","18"
"Lewis Miley","NEW","M","Drop","1-The Dentist","1","Sat Dec 23, 2023, 9:20AM","18"
"Lyle Foster","BUR","F","Claim","1 - The Narrative","1","Sat Dec 23, 2023, 9:11AM","18"
"Emerson Royal","TOT","D","Drop","1-john lim","1","Sat Dec 23, 2023, 9:09AM","18"
"Jacob Bruun Larsen","BUR","F","Claim","1-OGBEAN'S","1","Sat Dec 23, 2023, 9:08AM","18"
"Emerson Royal","TOT","D","Claim","1-john lim","1","Sat Dec 23, 2023, 9:04AM","18"
"Andros Townsend","EVE/LUT","M","Claim","1-john lim","1","Sat Dec 23, 2023, 9:03AM","18"
"Dango Ouattara","BOU","F","Claim","1-bruNO HARD FEELINGS","1","Sat Dec 23, 2023, 9:01AM","18"
"Luis Sinisterra","LEE/BOU","F","Drop","1-bruNO HARD FEELINGS","1","Sat Dec 23, 2023, 9:01AM","18"
"Kenny Tete","FUL","D","Drop","1-john lim","1","Sat Dec 23, 2023, 9:01AM","18"
"Sergio Reguilon","TOT/MUN/BRF","D","Drop","1-john lim","1","Sat Dec 23, 2023, 7:21AM","18"
"Edson Alvarez","WHU","M","Claim","1 - The Narrative","1","Sat Dec 23, 2023, 7:19AM","18"
"Raphael Varane","MUN","D","Drop","1 - The Narrative","1","Sat Dec 23, 2023, 7:18AM","18"
"Adam Smith","BOU","D","Claim","1 - The Narrative","1","Fri Dec 22, 2023, 11:25PM","18"
"Mason Mount","MUN","M","Drop","1 - The Narrative","1","Fri Dec 22, 2023, 11:23PM","18"
"Alex Moreno","AVL","D","Drop","1-OGBEAN'S","1","Fri Dec 22, 2023, 2:24PM","18"
"Rayan Ait-Nouri","WOL","D","Claim","1-rice cooker","1","Fri Dec 22, 2023, 2:07PM","18"
"Diego Carlos","AVL","D","Drop","1-rice cooker","1","Fri Dec 22, 2023, 2:07PM","18"
"Cameron Archer","AVL/SHU","F","Claim","1-OGBEAN'S","1","Fri Dec 22, 2023, 2:03PM","18"
"James Mcatee","MCI/SHU","M","Drop","1-OGBEAN'S","1","Fri Dec 22, 2023, 2:02PM","18"
"David Raya","BRF/ARS","G","Claim","1-OGBEAN'S","1","Fri Dec 22, 2023, 11:55AM","18"
"Wes Foderingham","SHU","G","Drop","1-OGBEAN'S","1","Fri Dec 22, 2023, 11:55AM","18"
"Clement Lenglet","TOT/AVL","D","Claim","1-OGBEAN'S","1","Thu Dec 21, 2023, 9:45PM","18"
"Emil Krafth","NEW","D","Drop","1-OGBEAN'S","1","Thu Dec 21, 2023, 9:45PM","18"
"Djordje Petrovic","CHE","G","Claim","1 - The Narrative","1","Thu Dec 21, 2023, 4:38PM","18"
"Ederson","MCI","G","Drop","1 - The Narrative","1","Thu Dec 21, 2023, 4:38PM","18"
"Will Hughes","CRY","M","Claim","1-rice cooker","1","Thu Dec 21, 2023, 2:40PM","18"
"Jeffrey Schlupp","CRY","M","Drop","1-rice cooker","1","Thu Dec 21, 2023, 2:40PM","18"
"Marc Guehi","CRY","D","Claim","1 - The Narrative","1","Thu Dec 21, 2023, 2:35PM","18"
"Milos Kerkez","BOU","D","Drop","1 - The Narrative","1","Thu Dec 21, 2023, 2:35PM","18"
"James Trafford","BUR","G","Claim","1-Check Complete FC","1","Thu Dec 21, 2023, 2:08PM","18"
"Daniel Bentley","WOL","G","Drop","1-Check Complete FC","1","Thu Dec 21, 2023, 2:08PM","18"
"Curtis Jones","LIV","M","Claim","1-Check Complete FC","1","Thu Dec 21, 2023, 2:03PM","18"
"Emerson","WHU","D","Claim","1-bruNO HARD FEELINGS","1","Thu Dec 21, 2023, 12:06PM","18"
"Pau Torres","AVL","D","Drop","1-bruNO HARD FEELINGS","1","Thu Dec 21, 2023, 12:06PM","18"
"Kevin Schade","BRF","M","Claim","1-Burnley and Old Trafford","1","Thu Dec 21, 2023, 11:43AM","18"
"Antoine Semenyo","BOU","F","Drop","1-Burnley and Old Trafford","1","Thu Dec 21, 2023, 11:43AM","18"
"Carlos Vinicius","FUL","F","Claim","1-rice cooker","1","Wed Dec 20, 2023, 5:54PM","18"
"Cameron Archer","AVL/SHU","F","Drop","1-rice cooker","1","Wed Dec 20, 2023, 5:54PM","18"
"Harvey Elliott","LIV","M","Claim","1-The Dentist","1","Wed Dec 20, 2023, 5:50PM","18"
"Carlos Vinicius","FUL","F","Drop","1-The Dentist","1","Wed Dec 20, 2023, 5:50PM","18"
"Dean Henderson","MUN/CRY","G","Claim","1-Koke Vegas","1","Wed Dec 20, 2023, 4:05PM","18"
"Djordje Petrovic","CHE","G","Drop","1-Koke Vegas","1","Wed Dec 20, 2023, 4:05PM","18"
"Jean-Philippe Mateta","CRY","F","Claim","1-ComeBack Szn","1","Wed Dec 20, 2023, 6:45AM","18"
"Tom Lockyer","LUT","D","Drop","1-ComeBack Szn","1","Wed Dec 20, 2023, 6:45AM","18"
"Jeffrey Schlupp","CRY","M","Claim","1-rice cooker","1","Wed Dec 20, 2023, 5:26AM","18"
"Evan Ferguson","BHA","F","Claim","1-bruNO HARD FEELINGS","1","Tue Dec 19, 2023, 9:30PM","18"
"Timothy Castagne","LEI/FUL","D","Claim","1-john lim","1","Tue Dec 19, 2023, 9:06PM","18"
"Andros Townsend","EVE/LUT","M","Drop","1-john lim","1","Tue Dec 19, 2023, 9:06PM","18"
"Diego Carlos","AVL","D","Claim","1-rice cooker","1","Tue Dec 19, 2023, 9:05PM","18"
"Ruben Dias","MCI","D","Drop","1-rice cooker","1","Tue Dec 19, 2023, 9:05PM","18"
"Andros Townsend","EVE/LUT","M","Claim","1-john lim","1","Tue Dec 19, 2023, 9:04PM","18"
"Nelson Semedo","WOL","D","Drop","1-john lim","1","Tue Dec 19, 2023, 9:04PM","18"
"Martin Dubravka","NEW","G","Claim","1-john lim","1","Tue Dec 19, 2023, 9:02PM","18"
"Kenny Tete","FUL","D","Claim","1-john lim","1","Tue Dec 19, 2023, 9:00PM","18"
"Christian Eriksen","MUN","M","Claim","1-john lim","1","Tue Dec 19, 2023, 9:00PM","18"
"Emil Krafth","NEW","D","Claim","1-OGBEAN'S","1","Tue Dec 19, 2023, 9:00PM","18"
"Sergio Reguilon","TOT/MUN/BRF","D","Claim","1-john lim","1","Tue Dec 19, 2023, 9:00PM","18"
"Carlos Vinicius","FUL","F","Claim","1-The Dentist","1","Tue Dec 19, 2023, 9:00PM","18"
"Lewis Miley","NEW","M","Claim","1-The Dentist","1","Tue Dec 19, 2023, 9:00PM","18"
"James Mcatee","MCI/SHU","M","Claim","1-OGBEAN'S","1","Tue Dec 19, 2023, 9:00PM","18"
"Andre Onana","MUN","G","Claim","1-The Dentist","1","Tue Dec 19, 2023, 9:00PM","18"
"James Trafford","BUR","G","Drop","1-The Dentist","1","Tue Dec 19, 2023, 9:00PM","18"
"Anthony Elanga","NOT","F","Claim","1-Koke Vegas","1","Tue Dec 19, 2023, 9:00PM","18"
"Mark Flekken","BRF","G","Drop","1-john lim","1","Tue Dec 19, 2023, 8:59PM","18"
"Evan Ferguson","BHA","F","Drop","1-Koke Vegas","1","Tue Dec 19, 2023, 7:12PM","18"
"Marc Cucurella","CHE","D","Drop","1-bruNO HARD FEELINGS","1","Tue Dec 19, 2023, 5:33PM","18"
"Boubacar Kamara","AVL","M","Drop","1-john lim","1","Tue Dec 19, 2023, 12:04AM","18"
"Ryan Gravenberch","LIV","M","Drop","1-The Dentist","1","Sun Dec 17, 2023, 3:09PM","18"
"Raul Jimenez","FUL","F","Drop","1-OGBEAN'S","1","Sun Dec 17, 2023, 2:43PM","18"
"Ryan Gravenberch","LIV","M","Claim","1-The Dentist","1","Sun Dec 17, 2023, 10:35AM","17"
"Joseph Gomez","LIV","D","Drop","1-The Dentist","1","Sun Dec 17, 2023, 10:35AM","17"
"Raphael Varane","MUN","D","Claim","1 - The Narrative","1","Sun Dec 17, 2023, 10:34AM","17"
"Sergio Reguilon","TOT/MUN/BRF","D","Drop","1 - The Narrative","1","Sun Dec 17, 2023, 10:34AM","17"
"Jean-Ricner Bellegarde","WOL","M","Drop","1-The Dentist","1","Thu Dec 14, 2023, 11:05PM","17"
"Jean-Ricner Bellegarde","WOL","M","Drop","1-The Dentist","1","Sun Dec 17, 2023, 8:59AM","18"
"Daniel Bentley","WOL","G","Claim","1-Check Complete FC","1","Sun Dec 17, 2023, 8:39AM","17"
"Saman Ghoddos","BRF","M,F","Claim","1-Greek Prison XI","1","Sun Dec 17, 2023, 8:28AM","17"
"David Raya","BRF/ARS","G","Drop","1-Greek Prison XI","1","Sun Dec 17, 2023, 8:28AM","17"
"Joseph Gomez","LIV","D","Claim","1-The Dentist","1","Sun Dec 17, 2023, 8:03AM","17"
"Neal Maupay","EVE/BRF","F","Drop","1-The Dentist","1","Sun Dec 17, 2023, 8:02AM","17"
"Jean-Ricner Bellegarde","WOL","M","Claim","1-The Dentist","1","Sun Dec 17, 2023, 8:01AM","17"
"Saman Ghoddos","BRF","M,F","Drop","1-The Dentist","1","Sun Dec 17, 2023, 8:01AM","17"
"Robert Sanchez","CHE","G","Drop","1-Check Complete FC","1","Thu Dec 14, 2023, 11:05PM","17"
"Ezri Konsa","AVL","D","Claim","1-Burnley and Old Trafford","1","Sat Dec 16, 2023, 11:02AM","17"
"Oliver Norwood","SHU","M","Drop","1-rice cooker","1","Sat Dec 16, 2023, 9:26AM","17"
"Ruben Dias","MCI","D","Claim","1-rice cooker","1","Sat Dec 16, 2023, 9:25AM","17"
"Jeffrey Schlupp","CRY","M","Drop","1-rice cooker","1","Sat Dec 16, 2023, 9:25AM","17"
"Nathan Ake","MCI","D","Claim","1-Greek Prison XI","1","Sat Dec 16, 2023, 9:21AM","17"
"Lewis Miley","NEW","M","Drop","1-Greek Prison XI","1","Sat Dec 16, 2023, 9:21AM","17"
"Axel Disasi","CHE","D","Claim","1-Koke Vegas","1","Sat Dec 16, 2023, 9:18AM","17"
"Matheus Nunes","WOL/MCI","M","Drop","1-Burnley and Old Trafford","1","Sat Dec 16, 2023, 9:12AM","17"
"Illia Zabarnyi","BOU","D","Claim","1-ComeBack Szn","1","Sat Dec 16, 2023, 9:10AM","17"
"Ezri Konsa","AVL","D","Drop","1-ComeBack Szn","1","Sat Dec 16, 2023, 9:10AM","17"
"Djordje Petrovic","CHE","G","Claim","1-Koke Vegas","1","Sat Dec 16, 2023, 9:03AM","17"
"Andre Onana","MUN","G","Drop","1-Koke Vegas","1","Sat Dec 16, 2023, 9:03AM","17"
"Lewis Hall","CHE/NEW","D","Drop","1-Koke Vegas","1","Sat Dec 16, 2023, 9:02AM","17"
"Kenny Tete","FUL","D","Drop","1-john lim","1","Sat Dec 16, 2023, 9:01AM","17"
"Kenny Tete","FUL","D","Claim","1-john lim","1","Fri Dec 15, 2023, 11:10PM","17"
"Yves Bissouma","TOT","M","Drop","1-OGBEAN'S","1","Fri Dec 15, 2023, 6:32PM","18"
"Cameron Archer","AVL/SHU","F","Claim","1-rice cooker","1","Fri Dec 15, 2023, 3:03PM","17"
"Anthony Martial","MUN","F","Drop","1-rice cooker","1","Fri Dec 15, 2023, 3:03PM","17"
"Mahmoud Dahoud","BHA","M","Drop","1-Check Complete FC","1","Fri Dec 15, 2023, 2:38PM","17"
"Matheus Nunes","WOL/MCI","M","Claim","1-Burnley and Old Trafford","1","Fri Dec 15, 2023, 1:37PM","17"
"Timothy Castagne","LEI/FUL","D","Drop","1-Burnley and Old Trafford","1","Fri Dec 15, 2023, 1:37PM","17"
"Pau Torres","AVL","D","Claim","1-bruNO HARD FEELINGS","1","Fri Dec 15, 2023, 1:28PM","17"
"Idrissa Gueye","EVE","M","Drop","1-bruNO HARD FEELINGS","1","Fri Dec 15, 2023, 1:28PM","17"
"Saman Ghoddos","BRF","M,F","Claim","1-The Dentist","1","Fri Dec 15, 2023, 10:48AM","17"
"Illia Zabarnyi","BOU","D","Drop","1-The Dentist","1","Fri Dec 15, 2023, 10:48AM","17"
"Neal Maupay","EVE/BRF","F","Claim","1-The Dentist","1","Fri Dec 15, 2023, 9:18AM","17"
"James Mcatee","MCI/SHU","M","Drop","1-The Dentist","1","Fri Dec 15, 2023, 9:18AM","17"
"Joel Ward","CRY","D","Drop","1-john lim","1","Wed Dec 13, 2023, 4:54PM","17"
"Dan Burn","NEW","D","Claim","1-ComeBack Szn","1","Wed Dec 13, 2023, 3:46PM","17"
"Felipe","NOT","D","Drop","1-ComeBack Szn","1","Wed Dec 13, 2023, 3:46PM","17"
"James Mcatee","MCI/SHU","M","Claim","1-The Dentist","1","Wed Dec 13, 2023, 3:06PM","17"
"Harvey Barnes","NEW","M","Drop","1-The Dentist","1","Wed Dec 13, 2023, 3:06PM","17"
"Harvey Barnes","NEW","M","Claim","1-The Dentist","1","Wed Dec 13, 2023, 2:36PM","17"
"Dan Burn","NEW","D","Drop","1-The Dentist","1","Wed Dec 13, 2023, 2:36PM","17"
"Lewis Hall","CHE/NEW","D","Claim","1-Koke Vegas","1","Wed Dec 13, 2023, 12:09AM","17"
"James Mcatee","MCI/SHU","M","Drop","1-Koke Vegas","1","Wed Dec 13, 2023, 12:09AM","17"
"Dan Burn","NEW","D","Claim","1-The Dentist","1","Wed Dec 13, 2023, 12:04AM","17"
"Neal Maupay","EVE/BRF","F","Drop","1-The Dentist","1","Wed Dec 13, 2023, 12:04AM","17"
"James Mcatee","MCI/SHU","M","Claim","1-Koke Vegas","1","Wed Dec 13, 2023, 12:00AM","17"
"Saman Ghoddos","BRF","M,F","Drop","1-Koke Vegas","1","Wed Dec 13, 2023, 12:00AM","17"
"Wes Foderingham","SHU","G","Claim","1-OGBEAN'S","1","Tue Dec 12, 2023, 10:42PM","17"
"Bart Verbruggen","BHA","G","Drop","1-OGBEAN'S","1","Tue Dec 12, 2023, 10:42PM","17"
"Sergio Reguilon","TOT/MUN/BRF","D","Claim","1 - The Narrative","1","Tue Dec 12, 2023, 9:54PM","17"
"Rayan Ait-Nouri","WOL","D","Drop","1 - The Narrative","1","Tue Dec 12, 2023, 9:54PM","17"
"Felipe","NOT","D","Claim","1-ComeBack Szn","1","Tue Dec 12, 2023, 9:02PM","17"
"Axel Disasi","CHE","D","Drop","1-ComeBack Szn","1","Tue Dec 12, 2023, 9:02PM","17"
"James Trafford","BUR","G","Claim","1-The Dentist","1","Tue Dec 12, 2023, 9:01PM","17"
"Jose Sa","WOL","G","Drop","1-The Dentist","1","Tue Dec 12, 2023, 9:01PM","17"
"Yves Bissouma","TOT","M","Claim","1-OGBEAN'S","1","Tue Dec 12, 2023, 9:01PM","17"
"Ryan Gravenberch","LIV","M","Drop","1-OGBEAN'S","1","Tue Dec 12, 2023, 9:01PM","17"
"Ezri Konsa","AVL","D","Claim","1-ComeBack Szn","1","Tue Dec 12, 2023, 9:00PM","17"
"Amadou Onana","EVE","M","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Tue Dec 12, 2023, 9:00PM","17"
"Harry Wilson","FUL","M","Claim","1-The Dentist","1","Tue Dec 12, 2023, 9:00PM","17"
"Nathan Patterson","EVE","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Tue Dec 12, 2023, 9:00PM","17"
"Alex Moreno","AVL","D","Claim","1-OGBEAN'S","1","Tue Dec 12, 2023, 9:00PM","17"
"Illia Zabarnyi","BOU","D","Claim","1-The Dentist","3","Tue Dec 12, 2023, 9:00PM","17"
"Thiago Silva","CHE","D","Claim","1-The Dentist","1","Tue Dec 12, 2023, 9:00PM","17"
"Malo Gusto","CHE","D","Claim","1-Burnley and Old Trafford","1","Tue Dec 12, 2023, 9:00PM","17"
"Jan-Paul van Hecke","BHA","D","Drop","1-Burnley and Old Trafford","1","Tue Dec 12, 2023, 9:00PM","17"
"Marcos Senesi","BOU","D","Claim","1-rice cooker","1","Tue Dec 12, 2023, 9:00PM","17"
"Ashley Young","EVE","D","Drop","1-rice cooker","1","Tue Dec 12, 2023, 9:00PM","17"
"Toti","WOL","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Mon Dec 11, 2023, 6:40PM","17"
"Lewis Hall","CHE/NEW","D","Drop","1-The Dentist","1","Mon Dec 11, 2023, 10:33AM","17"
"Sergio Reguilon","TOT/MUN/BRF","D","Drop","1-The Dentist","1","Sun Dec 10, 2023, 1:14PM","17"
"Pablo Fornals","WHU","M","Drop","1-The Dentist","1","Sun Dec 10, 2023, 1:13PM","17"
"Jarell Quansah","LIV","D","Drop","1-OGBEAN'S","1","Sun Dec 10, 2023, 1:04PM","17"
"Johann Gudmundsson","BUR","M","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sun Dec 10, 2023, 10:59AM","17"
"Aaron Cresswell","WHU","D","Drop","1-ComeBack Szn","1","Sun Dec 10, 2023, 10:06AM","17"
"Axel Disasi","CHE","D","Claim","1-ComeBack Szn","1","Sun Dec 10, 2023, 8:58AM","16"
"Thiago Silva","CHE","D","Drop","1-ComeBack Szn","1","Sun Dec 10, 2023, 8:58AM","16"
